
Gurobi 10.0.1 (linux64) logging started Sun Jun 15 11:56:50 2025

Set parameter LogFile to value "LogFile_Sub1_B2_2.txt"
Set parameter LogToConsole to value 0
Set parameter MIPFocus to value 3
Set parameter Cuts to value 3
Set parameter TimeLimit to value 7200
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (linux64)

CPU model: Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 80 physical cores, 80 logical processors, using up to 32 threads

Optimize a model with 105 rows, 97 columns and 233 nonzeros
Model fingerprint: 0x7cd3cc78
Model has 28 quadratic objective terms
Model has 1 quadratic constraint
Variable types: 68 continuous, 29 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+04]
  Objective range  [8e+00, 1e+04]
  QObjective range [2e+00, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 1e+04]
Presolve removed 86 rows and 49 columns
Presolve time: 0.00s
Presolved: 52 rows, 56 columns, 209 nonzeros
Presolved model has 8 bilinear constraint(s)
Variable types: 47 continuous, 9 integer (0 binary)
Root relaxation presolve removed 11 rows and 23 columns
Root relaxation presolved: 41 rows, 33 columns, 112 nonzeros


Root relaxation: objective 1.756815e+02, 37 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  175.00000    0   12          -  175.00000      -     -    0s
     0     0  173.00000    0    5          -  173.00000      -     -    0s
     0     0  173.00000    0    5          -  173.00000      -     -    0s
H    0     0                      69.0000000  173.00000   151%     -    0s
H    0     0                      70.0000000  173.00000   147%     -    0s
     0     2  173.00000    0    5   70.00000  173.00000   147%     -    0s
 1148000 458493   72.00000   57    3   70.00000   72.00000  2.86%   1.1  247s
 1162410 465716   71.92755   64    5   70.00000   72.00000  2.86%   1.1  250s
 1197049 480215   72.00000   60    4   70.00000   72.00000  2.86%   1.1  257s
 1214235 487860   71.56515   55    4   70.00000   72.00000  2.86%   1.1  261s
 1249540 502644   71.47837   48    3   70.00000   72.00000  2.86%   1.1  268s
 1267304 509898   71.78855   52    4   70.00000   72.00000  2.86%   1.1  273s
 1284897 516963   71.85126   49    3   70.00000   72.00000  2.86%   1.1  276s
 1317271 530763   72.00000   57    3   70.00000   72.00000  2.86%   1.1  283s
 1334759 537855   72.00000   60    4   70.00000   72.00000  2.86%   1.1  286s
 1351908 544144   72.00000   54    3   70.00000   72.00000  2.86%   1.1  290s
 1383897 558604   72.00000   56    4   70.00000   72.00000  2.86%   1.1  297s
 1401728 565758   71.80853   65    5   70.00000   72.00000  2.86%   1.1  301s
 1436785 579677   71.49308   59    4   70.00000   72.00000  2.86%   1.0  308s
 1452384 586798   71.70575   50    4   70.00000   72.00000  2.86%   1.0  311s
 1469471 594361   71.82748   59    4   70.00000   72.00000  2.86%   1.0  315s
 1505433 608966   72.00000   56    4   70.00000   72.00000  2.86%   1.0  322s
 1522665 616634   72.00000   65    4   70.00000   72.00000  2.86%   1.0  326s
 1540881 623863   72.00000   56    3   70.00000   72.00000  2.86%   1.0  330s
 1574149 637856   71.34635   47    3   70.00000   72.00000  2.86%   1.0  336s
 1591478 645247   71.92427   48    4   70.00000   72.00000  2.86%   1.0  340s
 1626336 660196   72.00000   52    3   70.00000   72.00000  2.86%   1.0  348s
 1644403 667610   71.94820   57    5   70.00000   72.00000  2.86%   1.0  351s
 1662161 675090   72.00000   58    3   70.00000   72.00000  2.86%   1.0  356s
 1679751 681470   71.51155   67    5   70.00000   72.00000  2.86%   1.0  360s
