
Gurobi 10.0.1 (linux64) logging started Sun Jun 15 21:16:55 2025

Set parameter LogFile to value "LogFile_Subproblem_B4_S0.txt"
Set parameter LogToConsole to value 0
Set parameter MIPFocus to value 3
Set parameter Cuts to value 3
Set parameter TimeLimit to value 7200
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (linux64)

CPU model: Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 80 physical cores, 80 logical processors, using up to 32 threads

Optimize a model with 77 rows, 97 columns and 149 nonzeros
Model fingerprint: 0xbf9090b9
Model has 28 quadratic objective terms
Model has 28 quadratic constraints
Variable types: 69 continuous, 28 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+04]
  QMatrix range    [1e+00, 1e+00]
  QLMatrix range   [1e+00, 1e+00]
  Objective range  [8e+00, 1e+04]
  QObjective range [2e+00, 2e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+01, 4e+01]
  QRHS range       [1e+00, 1e+00]
Presolve removed 51 rows and 52 columns
Presolve time: 0.00s
Presolved: 59 rows, 54 columns, 174 nonzeros
Presolved model has 16 bilinear constraint(s)
Variable types: 45 continuous, 9 integer (0 binary)
Root relaxation presolve removed 22 rows and 16 columns

Root relaxation: numerical trouble, 0 iterations, 0.00 seconds (0.00 work units)
Exploring 100 nodes in MinRel heuristic

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                      -0.0000000          -      -     -    0s
Feasible solution found by MinRel heuristic at node 1
 777604 20277 infeasible 6610        70.00000          -      -   4.8  390s
 790047 20265  postponed 6894        70.00000          -      -   4.7  395s
 802746 20296  postponed 6560        70.00000          -      -   4.7  400s
 814694 20290 infeasible 7206        70.00000          -      -   4.6  405s
 826766 20293 infeasible 6627        70.00000          -      -   4.6  410s
 839103 20288 infeasible 6877        70.00000          -      -   4.5  415s
 851831 20281  postponed 6939        70.00000          -      -   4.5  420s
 863858 20310  postponed 7070        70.00000          -      -   4.4  425s
 880423 20333  postponed 7443        70.00000          -      -   4.4  431s
 892566 20340 infeasible 6813        70.00000          -      -   4.4  436s
 905000 20340  postponed 6940        70.00000          -      -   4.3  440s
 917258 20349  postponed 6883        70.00000          -      -   4.3  446s
 930181 20348 infeasible 6345        70.00000          -      -   4.2  450s
 942363 20338 infeasible 7146        70.00000          -      -   4.2  455s
 954964 20346  postponed 8166        70.00000          -      -   4.2  460s
 967912 20359  postponed 7414        70.00000          -      -   4.1  466s
 980563 20351 infeasible 7528        70.00000          -      -   4.1  471s
 992851 20321 infeasible 7311        70.00000          -      -   4.0  475s
 1005976 20343 infeasible 7711        70.00000          -      -   4.0  481s
 1018689 20354 infeasible 7055        70.00000          -      -   4.0  486s
 1026822 20360 infeasible 7295        70.00000          -      -   3.9  490s
 1043051 20339 infeasible 7728        70.00000          -      -   3.9  496s
 1051296 20341 infeasible 8056        70.00000          -      -   3.9  500s
 1064309 20343 infeasible 7633        70.00000          -      -   3.9  505s
 1076830 20378 infeasible 8375        70.00000          -      -   3.8  510s
 1089136 20379  postponed 8264        70.00000          -      -   3.8  515s
 1101864 20413  postponed 7542        70.00000          -      -   3.8  520s
 1114620 20395  postponed 7657        70.00000          -      -   3.7  525s
 1126889 20378 infeasible 7253        70.00000          -      -   3.7  530s
 1143408 20372  postponed 7768        70.00000          -      -   3.7  536s
 1151583 20384  postponed 7672        70.00000          -      -   3.7  540s
 1168421 20399 infeasible 7924        70.00000          -      -   3.6  546s
 1180736 20402 infeasible 8521        70.00000          -      -   3.6  551s
 1193148 20391  postponed 7458        70.00000          -      -   3.6  556s
 1205625 20383 infeasible 9155        70.00000          -      -   3.6  561s
 1218190 20392 infeasible 8444        70.00000          -      -   3.5  566s
 1226540 20393  postponed 8671        70.00000          -      -   3.5  570s
 1238766 20396 infeasible 7670        70.00000          -      -   3.5  575s
 1251415 20414 infeasible 8264        70.00000          -      -   3.5  581s
 1263186 20417 infeasible 8354        70.00000          -      -   3.5  586s
 1275639 20423 infeasible 7447        70.00000          -      -   3.4  591s
 1284161 20409  postponed 8289        70.00000          -      -   3.4  595s
 1296785 20427 infeasible 9519        70.00000          -      -   3.4  600s
 1308880 20394  postponed 9981        70.00000          -      -   3.4  606s
 1321026 20416  postponed 7698        70.00000          -      -   3.4  610s
 1333549 20419  postponed 9068        70.00000          -      -   3.4  615s
 1345705 20409 infeasible 7815        70.00000          -      -   3.3  620s
 1358372 20403 infeasible 9328        70.00000          -      -   3.3  625s
 1370855 20396 infeasible 8908        70.00000          -      -   3.3  631s
 1383333 20409 infeasible 9108        70.00000          -      -   3.3  636s
 1396211 20434 infeasible 9626        70.00000          -      -   3.3  641s
 1404664 20431 infeasible 9372        70.00000          -      -   3.3  645s
 1421447 20445 infeasible 8944        70.00000          -      -   3.2  651s
 1434387 20445 infeasible 8048        70.00000          -      -   3.2  656s
 1446542 20436 infeasible 9604        70.00000          -      -   3.2  661s
 1455147 20442 infeasible 8405        70.00000          -      -   3.2  665s
 1467293 20480 infeasible 8379        70.00000          -      -   3.2  670s
 1481815 20475 infeasible 8217        70.00000          -      -   3.2  675s
 1492163 20453 infeasible 8774        70.00000          -      -   3.1  680s
 1504661 20438 infeasible 8862        70.00000          -      -   3.1  685s
 1517046 20443  postponed 9680        70.00000          -      -   3.1  690s
 1529301 20470 infeasible 8987        70.00000          -      -   3.1  695s
 1542114 20469  postponed 9959        70.00000          -      -   3.1  700s
 1554714 20470  postponed 9663        70.00000          -      -   3.1  706s
 1566655 20460 infeasible 7879        70.00000          -      -   3.1  710s
 1578750 20483 infeasible 9361        70.00000          -      -   3.1  715s
 1591338 20501 infeasible 8919        70.00000          -      -   3.0  720s
 1603451 20508  postponed 9805        70.00000          -      -   3.0  726s
 1615845 20505 infeasible 8933        70.00000          -      -   3.0  731s
 1627796 20492  postponed 9140        70.00000          -      -   3.0  735s
 1640723 20509 infeasible 8769        70.00000          -      -   3.0  740s
 1653011 20526  postponed 8839        70.00000          -      -   3.0  745s
 1665707 20527  postponed 8706        70.00000          -      -   3.0  750s
 1677946 20512 infeasible 9159        70.00000          -      -   3.0  755s
 1689775 20499 infeasible 10234        70.00000          -      -   3.0  760s
 1702723 20512  postponed 8770        70.00000          -      -   2.9  765s
 1714976 20544  postponed 9951        70.00000          -      -   2.9  770s
 1727004 20567 infeasible 9541        70.00000          -      -   2.9  775s
 1739299 20585  postponed 8679        70.00000          -      -   2.9  781s
 1751500 20573 infeasible 9219        70.00000          -      -   2.9  787s
 1759621 20585 infeasible 9866        70.00000          -      -   2.9  790s
 1771732 20580 infeasible 9405        70.00000          -      -   2.9  795s
 1784149 20578  postponed 9476        70.00000          -      -   2.9  800s
 1796869 20576 infeasible 9253        70.00000          -      -   2.9  805s
 1809271 20543 infeasible 10565        70.00000          -      -   2.9  810s
 1821802 20516 infeasible 10103        70.00000          -      -   2.8  815s
 1834416 20513  postponed 9016        70.00000          -      -   2.8  820s
 1847337 20506  postponed 9624        70.00000          -      -   2.8  826s
 1859681 20506 infeasible 9774        70.00000          -      -   2.8  831s
 1872484 20499 infeasible 10834        70.00000          -      -   2.8  836s
 1880738 20518  postponed 10017        70.00000          -      -   2.8  840s
 1892891 20528 infeasible 10535        70.00000          -      -   2.8  845s
 1905415 20533 infeasible 9502        70.00000          -      -   2.8  851s
 1913842 20543 infeasible 11190        70.00000          -      -   2.8  855s
 1925836 20538 infeasible 8183        70.00000          -      -   2.8  861s
 1933525 20551 infeasible 9302        70.00000          -      -   2.8  865s
 1945662 20555  postponed 11756        70.00000          -      -   2.8  871s
 1953908 20544  postponed 8378        70.00000          -      -   2.7  875s
 1966011 20527  postponed 8798        70.00000          -      -   2.7  880s
 1978299 20556  postponed 10262        70.00000          -      -   2.7  886s
 1986367 20574  postponed 9979        70.00000          -      -   2.7  890s
 1998049 20601 infeasible 10215        70.00000          -      -   2.7  895s
 2010052 20604  postponed 9630        70.00000          -      -   2.7  901s
 2018312 20564  postponed 9938        70.00000          -      -   2.7  905s
 2030631 20584 infeasible 9703        70.00000          -      -   2.7  911s
 2038938 20585 infeasible 9247        70.00000          -      -   2.7  915s
 2051367 20569 infeasible 9416        70.00000          -      -   2.7  921s
 2059599 20598 infeasible 9272        70.00000          -      -   2.7  925s
 2071480 20616 infeasible 9422        70.00000          -      -   2.7  931s
 2083394 20610 infeasible 9273        70.00000          -      -   2.7  936s
 2091742 20610 infeasible 10324        70.00000          -      -   2.7  940s
 2103644 20606 infeasible 10174        70.00000          -      -   2.7  946s
 2111805 20624  postponed 10238        70.00000          -      -   2.7  950s
 2123994 20634  postponed 9410        70.00000          -      -   2.7  956s
 2131709 20648 infeasible 9591        70.00000          -      -   2.7  960s
 2144000 20650  postponed 9608        70.00000          -      -   2.7  966s
 2152091 20661 infeasible 9369        70.00000          -      -   2.7  970s
 2164881 20673 infeasible 10554        70.00000          -      -   2.7  975s
 2172537 20673  postponed 10015        70.00000          -      -   2.7  980s
 2185127 20717 infeasible 8785        70.00000          -      -   2.7  985s
 2192964 20729 infeasible 8365        70.00000          -      -   2.7  990s
 2205904 20770  postponed 9100        70.00000          -      -   2.7  996s
 2215096 20791 infeasible 9441        70.00000          -      -   2.7 1000s
 2224086 20799 infeasible 9077        70.00000          -      -   2.7 1005s
 2237141 20820  postponed 10857        70.00000          -      -   2.7 1011s
 2246708 20850 infeasible 8328        70.00000          -      -   2.7 1016s
 2254565 20865 infeasible 8200        70.00000          -      -   2.7 1020s
 2268222 20905  postponed 10002        70.00000          -      -   2.7 1026s
 2276474 20898  postponed 9468        70.00000          -      -   2.7 1031s
 2286119 20917 infeasible 9726        70.00000          -      -   2.7 1035s
 2298637 20939 infeasible 8348        70.00000          -      -   2.7 1042s
 2308476 20963  postponed 10081        70.00000          -      -   2.7 1047s
 2317123 20984 infeasible 10490        70.00000          -      -   2.7 1051s
 2325642 20996  postponed 8282        70.00000          -      -   2.7 1056s
 2335958 21049  postponed 9609        70.00000          -      -   2.7 1060s
 2348194 21078 infeasible 8296        70.00000          -      -   2.7 1065s
 2359196 21153 infeasible 8513        70.00000          -      -   2.7 1071s
 2368346 21156 infeasible 10965        70.00000          -      -   2.7 1076s
 2377641 21199 infeasible 8263        70.00000          -      -   2.7 1080s
 2387707 21231 infeasible 9795        70.00000          -      -   2.7 1085s
 2397117 21233  postponed 8284        70.00000          -      -   2.7 1090s
 2407472 21245  postponed 8887        70.00000          -      -   2.7 1095s
 2416784 21280 infeasible 8301        70.00000          -      -   2.7 1100s
 2427983 21310  postponed 9807        70.00000          -      -   2.7 1105s
 2442316 21344  postponed 8208        70.00000          -      -   2.7 1111s
 2452242 21361  postponed 12374        70.00000          -      -   2.7 1116s
 2461652 21336 infeasible 8302        70.00000          -      -   2.7 1121s
 2470343 21349  postponed 8404        70.00000          -      -   2.8 1126s
 2481252 21373 infeasible 10454        70.00000          -      -   2.8 1131s
 2491409 21382  postponed 8211        70.00000          -      -   2.8 1135s
 2502581 21391 infeasible 9605        70.00000          -      -   2.8 1140s
 2512356 21412  postponed 10599        70.00000          -      -   2.8 1145s
 2521501 21425  postponed 8737        70.00000          -      -   2.8 1150s
 2536211 21442 infeasible 10234        70.00000          -      -   2.8 1157s
 2545699 21469 infeasible 8514        70.00000          -      -   2.8 1162s
 2556006 21510 infeasible 8901        70.00000          -      -   2.8 1166s
 2567646 21540 infeasible 8409        70.00000          -      -   2.8 1171s
 2577310 21566 infeasible 8642        70.00000          -      -   2.8 1176s
 2587567 21562  postponed 8422        70.00000          -      -   2.8 1181s
 2598386 21560 infeasible 9939        70.00000          -      -   2.8 1186s
 2608930 21565  postponed 8349        70.00000          -      -   2.8 1190s
 2619410 21582 infeasible 9069        70.00000          -      -   2.8 1195s
